"CT,C,11","CT_ST,C,2","PCSA,C,11","PCSA_ST,C,2","PCSA_L,C,30"
51041100912,VA,51041101007,VA,VA02_MIDLOTHIAN
51041100915,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100919,VA,51041101007,VA,VA02_MIDLOTHIAN
51041100920,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100921,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100922,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100923,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100924,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100926,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100927,VA,51041100928,VA,VA03_MIDLOTHIAN
51041100928,VA,51041100928,VA,VA03_MIDLOTHIAN
51041100929,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100930,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100931,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100932,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100933,VA,51041101007,VA,VA02_MIDLOTHIAN
51041100934,VA,51041100209,VA,VA03_RICHMOND
51041100935,VA,51041100915,VA,VA01_MIDLOTHIAN
51041100936,VA,51041100915,VA,VA01_MIDLOTHIAN
51041101003,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101004,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101007,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101008,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101009,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101010,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101011,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101012,VA,51041101007,VA,VA02_MIDLOTHIAN
51041101013,VA,51041101007,VA,VA02_MIDLOTHIAN
51043010100,VA,51043010100,VA,VA00_BERRYVILLE
51043010200,VA,51840000201,VA,VA00_WINCHESTER
51043010300,VA,51043010100,VA,VA00_BERRYVILLE
51045050100,VA,54063950200,WV,WV00_UNION
51047930101,VA,51047930201,VA,VA00_CULPEPER
51047930102,VA,51061930205,VA,VA00_WARRENTON
51047930201,VA,51047930201,VA,VA00_CULPEPER
51047930202,VA,51047930201,VA,VA00_CULPEPER
51047930300,VA,51047930201,VA,VA00_CULPEPER
51047930400,VA,51047930201,VA,VA00_CULPEPER
51047930501,VA,51047930201,VA,VA00_CULPEPER
51047930502,VA,51047930201,VA,VA00_CULPEPER
51049930100,VA,51147930201,VA,VA00_FARMVILLE
51049930200,VA,51147930201,VA,VA00_FARMVILLE
51051040100,VA,51051040100,VA,VA00_HAYSI
51051040200,VA,51051040200,VA,VA00_CLINTWOOD
51051040300,VA,51051040200,VA,VA00_CLINTWOOD
51051040400,VA,51195931700,VA,VA00_SAINT PAUL
51053840100,VA,51053840200,VA,VA00_SUTHERLAND
51053840200,VA,51053840200,VA,VA00_SUTHERLAND
51053840300,VA,51053840200,VA,VA00_SUTHERLAND
51053840400,VA,51053840200,VA,VA00_SUTHERLAND
51053840500,VA,51053840200,VA,VA00_SUTHERLAND
51053840600,VA,51053840200,VA,VA00_SUTHERLAND
51053980100,VA,51053840200,VA,VA00_SUTHERLAND
51057950600,VA,51057950600,VA,VA00_CHAMPLAIN
